Power_values(W),Z_0.010W,OA_0.010W,CA_0.010W,Z_0.015W,OA_0.015W,CA_0.015W,Z_0.025W,OA_0.025W,CA_0.025W,Z_0.050W,OA_0.050W,CA_0.050W,Z_0.075W,OA_0.075W,CA_0.075W,Z_0.100W,OA_0.100W,CA_0.100W
,16,1.8,1,16,1.85,0.86162,16,1.85,0.6966,16,1.85,0.54901,16,1.85,0.3887,16,1.85,0.26761
,16.4,1.79,0.99,16.4,1.85,0.85594,16.4,1.85,0.7054,16.4,1.85,0.55096,16.4,1.85,0.388,16.4,1.85,0.26766
,16.8,1.78,0.99,16.8,1.85,0.84972,16.8,1.85,0.7003,16.8,1.85,0.5493,16.8,1.85,0.389,16.8,1.85,0.26526
,17.2,1.78,0.99,17.2,1.85,0.84944,17.2,1.85,0.6969,17.2,1.85,0.55281,17.2,1.85,0.3878,17.2,1.85,0.26483
,17.6,1.76,1,17.6,1.85,0.84343,17.6,1.85,0.6939,17.6,1.85,0.54723,17.6,1.85,0.3835,17.6,1.85,0.26369
,18,1.76,1,18,1.85,0.85106,18,1.85,0.6956,18,1.85,0.54431,18,1.85,0.3872,18,1.85,0.26667
,18.4,1.75,1,18.4,1.85,0.84759,18.4,1.85,0.6973,18.4,1.85,0.54481,18.4,1.85,0.38803,18.4,1.85,0.26821
,18.8,1.73,1.01,18.8,1.85,0.85551,18.8,1.85,0.7004,18.8,1.85,0.54591,18.8,1.85,0.3875,18.8,1.85,0.26771
,19.2,1.73,1,19.2,1.85,0.86772,19.2,1.85,0.7056,19.2,1.85,0.55234,19.2,1.85,0.3923,19.2,1.85,0.27043
,19.6,1.72,1.02,19.6,1.85,0.87272,19.6,1.85,0.7066,19.6,1.85,0.55032,19.6,1.85,0.394,19.6,1.85,0.27061
,20,1.71,1.01,20,1.85,0.86958,20,1.85,0.71105,20,1.85,0.55762,20,1.85,0.3927,20,1.85,0.27345
